Datetime of new data,Total delay (seconds),Error occurred?
4/7/2020 2:55:17.297,1.466699839,0
4/7/2020 2:55:33.495,2.271054983,0
4/7/2020 2:55:49.698,1.781487942,0
4/7/2020 2:56:05.905,1.799610138,0
4/7/2020 2:56:22.423,1.655092955,0
4/7/2020 2:56:42.996,,1
4/7/2020 2:57:03.352,2.120112896,0
4/7/2020 2:57:20.657,2.007819891,0
4/7/2020 2:57:37.495,1.463517189,0
4/7/2020 2:57:53.722,2.610049009,0
4/7/2020 2:58:10.384,1.449904919,0
4/7/2020 2:58:28.061,1.503076077,0
4/7/2020 2:58:44.489,2.10691905,0
4/7/2020 2:59:02.543,1.463144064,0
4/7/2020 2:59:19.921,2.019854784,0
4/7/2020 2:59:36.800,1.508064032,0
4/7/2020 2:59:53.163,1.453842878,0
4/7/2020 3:00:09.358,1.45756197,0
4/7/2020 3:00:25.544,1.409054995,0
4/7/2020 3:00:41.779,1.481927872,0
4/7/2020 3:00:58.015,1.458549023,0
4/7/2020 3:01:14.206,1.48790288,0
4/7/2020 3:01:32.567,1.45994997,0
4/7/2020 3:01:48.856,1.551758051,0
4/7/2020 3:02:05.071,1.498311043,0
4/7/2020 3:02:21.311,1.542541981,0
4/7/2020 3:02:37.575,1.459388018,0
4/7/2020 3:02:53.844,1.385975838,0
4/7/2020 3:03:10.923,1.467430115,0
4/7/2020 3:03:27.146,1.458304882,0
4/7/2020 3:03:43.467,1.516882896,0
4/7/2020 3:04:00.461,1.550740957,0
4/7/2020 3:04:17.000,1.486886978,0
4/7/2020 3:04:35.000,3.098459959,0
4/7/2020 3:04:53.874,1.616113901,0
4/7/2020 3:05:10.089,1.498420954,0
4/7/2020 3:05:26.337,1.473360062,0
4/7/2020 3:05:42.606,1.479988813,0
4/7/2020 3:05:58.804,1.808207035,0
4/7/2020 3:06:15.020,1.826292992,0
4/7/2020 3:06:31.279,1.625208855,0
4/7/2020 3:06:48.384,1.37783289,0
4/7/2020 3:07:06.389,1.454291105,0
4/7/2020 3:07:22.616,1.360728979,0
4/7/2020 3:07:38.798,1.407991886,0
4/7/2020 3:07:55.063,1.606564999,0
4/7/2020 3:08:11.372,1.537347078,0
4/7/2020 3:08:27.559,1.449573994,0
4/7/2020 3:08:43.733,1.459604025,0
4/7/2020 3:09:00.484,2.139004946,0
4/7/2020 3:09:18.579,1.439469099,0
4/7/2020 3:09:38.849,1.459306002,0
4/7/2020 3:09:55.613,1.83918786,0
4/7/2020 3:10:12.676,1.484411955,0
4/7/2020 3:10:28.892,1.460788965,0
4/7/2020 3:10:45.119,1.560730934,0
4/7/2020 3:11:01.932,1.394021034,0
4/7/2020 3:11:18.139,1.466892004,0
4/7/2020 3:11:34.330,1.391799927,0
4/7/2020 3:11:50.659,1.51730299,0
4/7/2020 3:12:06.846,1.434557915,0
4/7/2020 3:12:23.901,1.814898968,0
4/7/2020 3:12:40.210,1.448142052,0
4/7/2020 3:12:56.450,1.517767906,0
4/7/2020 3:13:12.644,1.465585947,0
4/7/2020 3:13:28.843,1.465084076,0
4/7/2020 3:13:45.030,1.496568918,0
4/7/2020 3:14:01.482,1.558611155,0
4/7/2020 3:14:20.130,1.507943153,0
4/7/2020 3:14:36.354,1.386215925,0
4/7/2020 3:14:52.712,1.453151941,0
4/7/2020 3:15:10.500,2.074809074,0
4/7/2020 3:15:27.756,,1
4/7/2020 3:15:45.077,1.80630517,0
4/7/2020 3:16:01.284,2.378957033,0
4/7/2020 3:16:18.846,1.719157934,0
4/7/2020 3:16:35.864,1.94271493,0
4/7/2020 3:16:52.083,1.448531151,0
4/7/2020 3:17:08.294,1.462198973,0
4/7/2020 3:17:24.923,1.49571991,0
4/7/2020 3:17:41.138,1.429098845,0
4/7/2020 3:17:57.423,1.440132141,0
4/7/2020 3:18:13.667,1.48003602,0
4/7/2020 3:18:31.127,1.449748993,0
4/7/2020 3:18:47.797,1.673223972,0
4/7/2020 3:19:06.580,1.501845837,0
4/7/2020 3:19:22.783,1.454236984,0
4/7/2020 3:19:40.358,1.499483109,0
4/7/2020 3:19:57.093,1.520033121,0
4/7/2020 3:20:14.463,1.446694851,0
4/7/2020 3:20:30.646,1.497313976,0
4/7/2020 3:20:46.836,1.459481955,0
4/7/2020 3:21:03.023,1.386245966,0
4/7/2020 3:21:19.689,1.455078125,0
4/7/2020 3:21:35.936,1.473078012,0
4/7/2020 3:21:52.115,1.472202063,0
4/7/2020 3:22:08.326,1.634505033,0
,,
,,
